DA Concentration (uM),AA Concentration (uM),Peak Current (uA),Peak Potential (mV),Peak Area (uC),DA concentration,
0,0,0,0,0,,
10,0,2.333,34.772,3.916,,
15,0,3.09,41.093,5.268,,
25,0,5.199,47.659,8.317,,
100,0,17.519,77.535,37.677,,
150,0,31.943,99.526,82.745,,
200,0,35.26,107.469,112.574,,
300,0,42.424,130.687,184.784,,
400,0,52.198,130.779,216.628,,
500,0,65.008,147.587,271.887,,
600,0,68.412,173.902,305,,
700,0,69.233,164.67,352.773,,
800,0,78.096,184.115,485.775,,
900,0,86.956,180.956,435.574,,
1000,0,103.987,191.998,608.674,,
0,100,8.763,133.447,40.418,,
0,150,9.755,147.679,44.194,,
0,200,14.559,172.276,70.734,,
0,400,31.215,164.517,168.123,,
0,500,38.49,203.56,233.751,,
0,600,45.929,232.023,324.356,,
0,700,51.161,203.622,360.201,,
0,800,60.587,238.648,434.062,,
0,900,61.635,302.412,517.622,,
0,1000,72.979,243.831,559.234,,
0,1250,84.476,262.203,637.726,,
0,1500,104.638,297.075,866.325,,
0,1750,123.086,299.805,1019,,
0,2250,150.778,320.385,1291,,
0,2750,196.454,356.086,1714,,
100,100,36.05,185.557,105.851,,
100,200,35.335,167.154,103.224,,
200,200,44.995,202.242,170.703,,
200,300,60.069,204.849,230.379,,
300,400,56.106,268.552,281.731,,
400,400,71.864,283.396,350.589,,
600,400,99.239,230.949,374.676,,
1000,400,112.207,371.329,732.329,,
50,25,19.999,121.608,43.387,,
50,100,18.468,135.564,55.792,,
50,150,19.713,132.037,55.947,,
50,500,47.216,151.543,194.749,,
50,1000,53.726,169.792,229.172,,
50,0,8.123,60.585,16.01,,
0,300,21.614,174.853,112.173,,
100,50,40.852,167.246,126.391,,
200,400,55.129,230.827,254.973,,
50,300,32.599,143.477,118.396,,
